State,year,number_of_women_per_facility,log_number_of_women_per_facility
CT,2017,41825.0,10.641273434714453
ME,2017,13773.0,9.530538036104643
MA,2017,85141.0,11.352075729827407
NH,2017,48381.0,10.786883122706014
RI,2017,80659.0,11.29799806842736
VT,2017,22392.0,10.016503689004832
NJ,2017,39832.0,10.592450993449742
NY,2017,49669.0,10.813156408101396
PA,2017,164027.0,12.007792423940653
IL,2017,122599.0,11.716682302484248
IN,2017,214920.0,12.278025797726034
MI,2017,95770.0,11.46971520414435
OH,2017,234446.0,12.364984828530554
WI,2017,420518.0,12.94924494167876
IA,2017,113722.0,11.641520946000865
KS,2017,159933.0,11.982516509114435
MN,2017,246603.0,12.41553909018099
MO,2017,1356931.0,14.12073682702348
NE,2017,140744.0,11.85470502139226
ND,2017,164310.0,12.0095162524842
SD,2017,182883.0,12.11660735105541
DE,2017,69645.0,11.151180547551608
FL,2017,69239.0,11.145334009290146
GA,2017,147157.0,11.899262118476724
MD,2017,55597.0,10.925902508368672
NC,2017,168875.0,12.036919996784569
SC,2017,374492.0,12.833328390175936
VA,2017,129435.0,11.770941829466253
WV,2017,380730.0,12.849848368002109
AL,2017,221821.0,12.309630537437624
KY,2017,991091.0,13.806562644522852
MS,2017,686239.0,13.438982699750708
TN,2017,191566.0,12.162992895864491
AR,2017,223031.0,12.315070537905285
LA,2017,357400.0,12.786613679689001
OK,2017,220452.0,12.303439799221499
TX,2017,323547.0,12.687102759041489
AZ,2017,195832.0,12.185017534203233
CO,2017,62508.0,11.043065825357488
ID,2017,94879.0,11.460368214231552
MT,2017,43972.0,10.691331088184912
NV,2017,84725.0,11.347177799297308
NM,2017,91227.0,11.42111714648604
UT,2017,378477.0,12.843913225995992
WY,2017,61597.0,11.028384681462063
AK,2017,27404.0,10.218480757480217
CA,2017,61856.0,11.032580548457824
HI,2017,100437.0,11.517295900687763
OR,2017,78433.0,11.270012785798727
WA,2017,51459.0,10.848560085835736
CT,2018,43957.0,10.69098991157722
ME,2018,13755.0,9.529230371552156
MA,2018,85162.0,11.352322346193413
NH,2018,48184.0,10.782803048285388
RI,2018,80493.0,11.295937926467355
VT,2018,22318.0,10.013193612624185
NJ,2018,44018.0,10.692376637875576
NY,2018,48698.0,10.793413774978955
PA,2018,231794.0,12.353608639335905
IL,2018,121559.0,11.708163247030729
IN,2018,215903.0,12.282589143427153
MI,2018,95520.0,11.467101397583354
OH,2018,286244.0,12.564603366449123
WI,2018,420208.0,12.94850748553587
IA,2018,113736.0,11.641644044567801
KS,2018,160263.0,11.984577734461489
MN,2018,247804.0,12.420397425536166
MO,2018,1356955.0,14.120754513825588
NE,2018,141538.0,11.860330576464222
ND,2018,164866.0,12.012894367235127
SD,2018,183559.0,12.12029686850877
DE,2018,69573.0,11.150146213311999
FL,2018,71987.0,11.184254717441094
GA,2018,148198.0,11.906311244183032
MD,2018,62917.0,11.049587570271592
NC,2018,183326.0,12.119026722489291
SC,2018,377334.0,12.840888666028532
VA,2018,129398.0,11.770655933043805
WV,2018,376293.0,12.838126031729457
AL,2018,221608.0,12.308669846748963
KY,2018,988756.0,13.804203877684957
MS,2018,680107.0,13.43000688807058
TN,2018,193121.0,12.171077392532911
AR,2018,223282.0,12.316195304164369
LA,2018,354996.0,12.779864617717621
OK,2018,294436.0,12.592820337287696
TX,2018,361578.0,12.798235830592489
AZ,2018,198634.0,12.199224248701334
CO,2018,63547.0,11.059550804839914
ID,2018,96762.0,11.480019968790666
MT,2018,44347.0,10.699822890892243
NV,2018,86164.0,11.364019341715677
NM,2018,91169.0,11.42048117457895
UT,2018,386483.0,12.864845748998782
