State_y,State,age,percent
Rhode Island,RI,≤6,40.4
South Dakota,SD,≤6,
Tennessee,TN,≤6,29.3
Utah,UT,≤6,45.9
Vermont,VT,≤6,44.7
Washington,WA,≤6,45.8
West Virginia,WV,≤6,30.5
Wyoming,WY,≤6,64.9
Alaska,AK,≥21,
Arizona,AZ,≥21,1.0
Colorado,CO,≥21,3.5
Delaware,DE,≥21,1.0
Florida,FL,≥21,0.7
Georgia,GA,≥21,0.3
Hawaii,HI,≥21,1.7
Idaho,ID,≥21,
Indiana,IN,≥21,0.3
Iowa,IA,≥21,0.3
Kansas,KS,≥21,0.4
Kentucky,KY,≥21,0.4
Louisiana,LA,≥21,0.0
Maine,ME,≥21,
Michigan,MI,≥21,1.4
Minnesota,MN,≥21,1.9
Mississippi,MS,≥21,
Missouri,MO,≥21,17.0
Montana,MT,≥21,
Nebraska,NE,≥21,0.5
New Mexico,NM,≥21,4.1
North Carolina,NC,≥21,0.0
North Dakota,ND,≥21,0.0
Ohio,OH,≥21,0.6
Oklahoma,OK,≥21,0.3
Oregon,OR,≥21,2.0
Rhode Island,RI,≥21,0.6
South Dakota,SD,≥21,0.0
Tennessee,TN,≥21,0.1
Utah,UT,≥21,0.8
Vermont,VT,≥21,1.4
Washington,WA,≥21,2.6
West Virginia,WV,≥21,
Wyoming,WY,≥21,0.0
