,State_y,State,year,cost
183,Alabama,AL,2022,
184,Kentucky,KY,2022,
185,Mississippi,MS,2022,
186,Tennessee,TN,2022,
187,Arkansas,AR,2022,
188,Louisiana,LA,2022,
189,Oklahoma,OK,2022,
190,Texas,TX,2022,
191,Arizona,AZ,2022,570.0
192,Colorado,CO,2022,560.0
193,Idaho,ID,2022,
194,Montana,MT,2022,555.0
195,Nevada,NV,2022,600.0
196,New Mexico,NM,2022,560.0
197,Utah,UT,2022,450.0
198,Wyoming,WY,2022,475.0
199,Alaska,AK,2022,800.0
200,California,CA,2022,700.0
201,Hawaii,HI,2022,850.0
202,Oregon,OR,2022,600.0
203,Washington,WA,2022,650.0
204,Connecticut,CT,2023,600.0
205,Maine,ME,2023,525.0
206,Massachusetts,MA,2023,650.0
207,New Hampshire,NH,2023,553.0
208,Rhode Island,RI,2023,200.0
209,Vermont,VT,2023,264.0
210,New Jersey,NJ,2023,483.0
211,New York,NY,2023,600.0
212,Pennsylvania,PA,2023,555.0
213,Illinois,IL,2023,470.0
214,Indiana,IN,2023,150.0
215,Michigan,MI,2023,600.0
216,Ohio,OH,2023,650.0
217,Wisconsin,WI,2023,150.0
218,Iowa,IA,2023,730.0
219,Kansas,KS,2023,743.0
220,Minnesota,MN,2023,400.0
221,Missouri,MO,2023,150.0
222,Nebraska,NE,2023,730.0
223,North Dakota,ND,2023,150.0
224,South Dakota,SD,2023,150.0
225,Delaware,DE,2023,269.0
226,District of Columbia,DC,2023,237.0
227,Florida,FL,2023,565.0
228,Georgia,GA,2023,500.0
229,Maryland,MD,2023,450.0
230,North Carolina,NC,2023,600.0
231,South Carolina,SC,2023,625.0
232,Virginia,VA,2023,450.0
233,West Virginia,WV,2023,150.0
234,Alabama,AL,2023,150.0
235,Kentucky,KY,2023,150.0
236,Mississippi,MS,2023,150.0
237,Tennessee,TN,2023,150.0
238,Arkansas,AR,2023,150.0
239,Louisiana,LA,2023,150.0
240,Oklahoma,OK,2023,150.0
241,Texas,TX,2023,150.0
242,Arizona,AZ,2023,720.0
243,Colorado,CO,2023,600.0
244,Idaho,ID,2023,150.0
245,Montana,MT,2023,350.0
246,Nevada,NV,2023,600.0
247,New Mexico,NM,2023,470.0
248,Utah,UT,2023,525.0
249,Wyoming,WY,2023,350.0
250,Alaska,AK,2023,800.0
251,California,CA,2023,612.0
252,Hawaii,HI,2023,293.0
253,Oregon,OR,2023,700.0
254,Washington,WA,2023,650.0
